MM/DD/YYYY,ID,YEAR,MONTH,DAY,PRCP,PRCP_FLAGS,SNOW,SNOW_FLAGS,SNWD,SNWD_FLAGS,WESD,WESD_FLAGS,WESF,WESF_FLAGS
2008-12-10,US1CALA0006,2008,12,10,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-11,US1CALA0006,2008,12,11,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-12,US1CALA0006,2008,12,12,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-13,US1CALA0006,2008,12,13,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-14,US1CALA0006,2008,12,14,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-15,US1CALA0006,2008,12,15,640.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-16,US1CALA0006,2008,12,16,33.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-17,US1CALA0006,2008,12,17,0.0,T_N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-18,US1CALA0006,2008,12,18,53.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-19,US1CALA0006,2008,12,19,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-20,US1CALA0006,2008,12,20,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-21,US1CALA0006,2008,12,21,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-22,US1CALA0006,2008,12,22,41.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-23,US1CALA0006,2008,12,23,0.0,T_N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-29,US1CALA0006,2008,12,29,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-30,US1CALA0006,2008,12,30,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-31,US1CALA0006,2008,12,31,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-01,US1CALA0006,2009,01,1,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-02,US1CALA0006,2009,01,2,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-03,US1CALA0006,2009,01,3,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-04,US1CALA0006,2009,01,4,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-05,US1CALA0006,2009,01,5,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-06,US1CALA0006,2009,01,6,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-07,US1CALA0006,2009,01,7,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-08,US1CALA0006,2009,01,8,0.0,T_N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-09,US1CALA0006,2009,01,9,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-17,US1CALA0006,2009,01,17,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-01-18,US1CALA0006,2009,01,18,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-01-19,US1CALA0006,2009,01,19,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-01-20,US1CALA0006,2009,01,20,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-01-21,US1CALA0006,2009,01,21,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-01-22,US1CALA0006,2009,01,22,23.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-01-23,US1CALA0006,2009,01,23,3.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-01-24,US1CALA0006,2009,01,24,122.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-01,US1CALA0006,2009,02,1,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-02,US1CALA0006,2009,02,2,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-03,US1CALA0006,2009,02,3,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-04,US1CALA0006,2009,02,4,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-05,US1CALA0006,2009,02,5,0.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-06,US1CALA0006,2009,02,6,267.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-09,US1CALA0006,2009,02,9,13.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-10,US1CALA0006,2009,02,10,0.0,T_N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-11,US1CALA0006,2009,02,11,25.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-13,US1CALA0006,2009,02,13,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-14,US1CALA0006,2009,02,14,79.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-15,US1CALA0006,2009,02,15,0.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-16,US1CALA0006,2009,02,16,183.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-17,US1CALA0006,2009,02,17,79.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-19,US1CALA0006,2009,02,19,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-20,US1CALA0006,2009,02,20,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-21,US1CALA0006,2009,02,21,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-22,US1CALA0006,2009,02,22,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-23,US1CALA0006,2009,02,23,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-02-24,US1CALA0006,2009,02,24,0.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-25,US1CALA0006,2009,02,25,0.0,T_N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-26,US1CALA0006,2009,02,26,0.0,T_N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-02-27,US1CALA0006,2009,02,27,0.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-03-03,US1CALA0006,2009,03,3,0.0,T_N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-03-04,US1CALA0006,2009,03,4,3.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-03-05,US1CALA0006,2009,03,5,89.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-03-06,US1CALA0006,2009,03,6,0.0,T_N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-03-08,US1CALA0006,2009,03,8,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-09,US1CALA0006,2009,03,9,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-10,US1CALA0006,2009,03,10,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-11,US1CALA0006,2009,03,11,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-12,US1CALA0006,2009,03,12,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-13,US1CALA0006,2009,03,13,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-14,US1CALA0006,2009,03,14,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-15,US1CALA0006,2009,03,15,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-16,US1CALA0006,2009,03,16,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-17,US1CALA0006,2009,03,17,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-18,US1CALA0006,2009,03,18,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-19,US1CALA0006,2009,03,19,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-20,US1CALA0006,2009,03,20,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-21,US1CALA0006,2009,03,21,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-22,US1CALA0006,2009,03,22,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-23,US1CALA0006,2009,03,23,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-24,US1CALA0006,2009,03,24,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-25,US1CALA0006,2009,03,25,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-26,US1CALA0006,2009,03,26,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-27,US1CALA0006,2009,03,27,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-28,US1CALA0006,2009,03,28,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-29,US1CALA0006,2009,03,29,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-30,US1CALA0006,2009,03,30,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-03-31,US1CALA0006,2009,03,31,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-01,US1CALA0006,2009,05,1,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-02,US1CALA0006,2009,05,2,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-03,US1CALA0006,2009,05,3,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-04,US1CALA0006,2009,05,4,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-05,US1CALA0006,2009,05,5,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-06,US1CALA0006,2009,05,6,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-07,US1CALA0006,2009,05,7,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-08,US1CALA0006,2009,05,8,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-09,US1CALA0006,2009,05,9,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-10,US1CALA0006,2009,05,10,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-11,US1CALA0006,2009,05,11,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-12,US1CALA0006,2009,05,12,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-13,US1CALA0006,2009,05,13,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-14,US1CALA0006,2009,05,14,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-15,US1CALA0006,2009,05,15,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-16,US1CALA0006,2009,05,16,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-17,US1CALA0006,2009,05,17,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-18,US1CALA0006,2009,05,18,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-19,US1CALA0006,2009,05,19,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-20,US1CALA0006,2009,05,20,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-21,US1CALA0006,2009,05,21,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-22,US1CALA0006,2009,05,22,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-23,US1CALA0006,2009,05,23,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-24,US1CALA0006,2009,05,24,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-25,US1CALA0006,2009,05,25,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-26,US1CALA0006,2009,05,26,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-27,US1CALA0006,2009,05,27,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-28,US1CALA0006,2009,05,28,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-29,US1CALA0006,2009,05,29,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-30,US1CALA0006,2009,05,30,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-05-31,US1CALA0006,2009,05,31,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-01,US1CALA0006,2009,06,1,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-02,US1CALA0006,2009,06,2,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-03,US1CALA0006,2009,06,3,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-04,US1CALA0006,2009,06,4,0.0,T_N,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-05,US1CALA0006,2009,06,5,0.0,T_N,nan,nan,nan,nan,nan,nan,nan,nan
2009-06-06,US1CALA0006,2009,06,6,30.0,__N,0.0,__N,0.0,__N,0.0,__N,0.0,__N
2009-06-07,US1CALA0006,2009,06,7,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-08,US1CALA0006,2009,06,8,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-09,US1CALA0006,2009,06,9,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-10,US1CALA0006,2009,06,10,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-11,US1CALA0006,2009,06,11,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-12,US1CALA0006,2009,06,12,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-13,US1CALA0006,2009,06,13,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-14,US1CALA0006,2009,06,14,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-15,US1CALA0006,2009,06,15,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-16,US1CALA0006,2009,06,16,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-17,US1CALA0006,2009,06,17,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-18,US1CALA0006,2009,06,18,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-19,US1CALA0006,2009,06,19,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-20,US1CALA0006,2009,06,20,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-21,US1CALA0006,2009,06,21,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-22,US1CALA0006,2009,06,22,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-23,US1CALA0006,2009,06,23,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-24,US1CALA0006,2009,06,24,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-25,US1CALA0006,2009,06,25,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-26,US1CALA0006,2009,06,26,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-27,US1CALA0006,2009,06,27,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-28,US1CALA0006,2009,06,28,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-29,US1CALA0006,2009,06,29,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-06-30,US1CALA0006,2009,06,30,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-01,US1CALA0006,2009,07,1,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-02,US1CALA0006,2009,07,2,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-03,US1CALA0006,2009,07,3,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-04,US1CALA0006,2009,07,4,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-05,US1CALA0006,2009,07,5,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-06,US1CALA0006,2009,07,6,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-07,US1CALA0006,2009,07,7,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-08,US1CALA0006,2009,07,8,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-09,US1CALA0006,2009,07,9,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-10,US1CALA0006,2009,07,10,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-11,US1CALA0006,2009,07,11,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-12,US1CALA0006,2009,07,12,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-13,US1CALA0006,2009,07,13,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-14,US1CALA0006,2009,07,14,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-15,US1CALA0006,2009,07,15,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-16,US1CALA0006,2009,07,16,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-17,US1CALA0006,2009,07,17,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-18,US1CALA0006,2009,07,18,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-19,US1CALA0006,2009,07,19,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-20,US1CALA0006,2009,07,20,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-21,US1CALA0006,2009,07,21,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-22,US1CALA0006,2009,07,22,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-23,US1CALA0006,2009,07,23,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-24,US1CALA0006,2009,07,24,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-25,US1CALA0006,2009,07,25,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-26,US1CALA0006,2009,07,26,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-27,US1CALA0006,2009,07,27,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-28,US1CALA0006,2009,07,28,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-29,US1CALA0006,2009,07,29,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-30,US1CALA0006,2009,07,30,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-07-31,US1CALA0006,2009,07,31,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-01,US1CALA0006,2009,08,1,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-02,US1CALA0006,2009,08,2,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-03,US1CALA0006,2009,08,3,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-04,US1CALA0006,2009,08,4,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-05,US1CALA0006,2009,08,5,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-06,US1CALA0006,2009,08,6,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-07,US1CALA0006,2009,08,7,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-08,US1CALA0006,2009,08,8,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-09,US1CALA0006,2009,08,9,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-10,US1CALA0006,2009,08,10,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-11,US1CALA0006,2009,08,11,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-12,US1CALA0006,2009,08,12,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-13,US1CALA0006,2009,08,13,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-14,US1CALA0006,2009,08,14,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-15,US1CALA0006,2009,08,15,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-16,US1CALA0006,2009,08,16,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-17,US1CALA0006,2009,08,17,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-18,US1CALA0006,2009,08,18,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-19,US1CALA0006,2009,08,19,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-20,US1CALA0006,2009,08,20,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-21,US1CALA0006,2009,08,21,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-22,US1CALA0006,2009,08,22,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-23,US1CALA0006,2009,08,23,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-24,US1CALA0006,2009,08,24,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-25,US1CALA0006,2009,08,25,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-26,US1CALA0006,2009,08,26,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-27,US1CALA0006,2009,08,27,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-28,US1CALA0006,2009,08,28,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-29,US1CALA0006,2009,08,29,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-30,US1CALA0006,2009,08,30,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-08-31,US1CALA0006,2009,08,31,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-09-01,US1CALA0006,2009,09,1,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-09-02,US1CALA0006,2009,09,2,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-09-03,US1CALA0006,2009,09,3,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2009-09-04,US1CALA0006,2009,09,4,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
